title,year,duration,note,n_total,Genre,Director,Acteurs,Public,color,Descriptions
Planet Earth II,2016,"TV Mini Series,4,h, ,58,m",9.5,145K,"Documentary,Back to top",David Attenborough,"David Attenborough,Chadden Hunter,Gordon Buchanan,Elizabeth White,Pete McCowen,Emma Brennand,Barrie Britton,Fredi Devas,Sandesh Kadur,Mark MacEwen,Emma Napper,Ed Charles,Max Hug Williams,Jerome Poncet,Michael J. Sanderson,Toby Nowlan,Armin Holtze,Thomas Crowley",2016,,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.
Breaking Bad,2008–2013,"TV Series,49,m",9.5,1.9M,"Crime,Drama,Thriller,Back to top",Vince Gilligan,"Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell",2008–2013,,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.
Band of Brothers,2001,"TV Mini Series,9,h, ,54,m",9.4,468K,"Drama,History,War,Back to top",Scott Grimes,"Scott Grimes,Damian Lewis,Ron Livingston,Shane Taylor,Donnie Wahlberg,Peter Youngblood Hills,Matthew Leitch,Nicholas Aaron,Philip Barantini,Michael Cudlitz,Dexter Fletcher,Rick Gomez,James Madio,Ross McCall,Doug Allen,George Calil,Nolan Hemmings,Robin Laing",2001,,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day."
Avatar: The Last Airbender,2005–2008,"TV Series,23,m",9.3,315K,"Animation,Action,Adventure,Back to top",Michael Dante DiMartino,"Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman,Jack De Sena,Dante Basco,Michaela Jill Murphy,Mako,Grey Griffin,André Sogliuzzo,Cricket Leigh,Mark Hamill,Jennie Kwan,Olivia Hack,Greg Baldwin,Jim Meskimen,James Garrett,Jason Isaacs,James Sie",2005–2008,,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
The Wire,2002–2008,"TV Series,59,m",9.3,340K,"Crime,Drama,Thriller,Back to top",David Simon,"Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,John Doman,Deirdre Lovejoy,Seth Gilliam,Domenick Lombardozzi,Clarke Peters,Andre Royo,Michael Kenneth Williams,Jim True-Frost,Frankie Faison,Corey Parker Robinson,Delaney Williams,J.D. Williams,Wood Harris,Idris Elba",2002–2008,,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
Planet Earth,2006,"TV Mini Series,8,h, ,58,m",9.4,210K,"Documentary,Back to top",Sigourney Weaver,"Sigourney Weaver,David Attenborough,Nikolay Drozdov,Thomas Anguti Johnston,Sanae Ueda,Huw Cordey,Mark Linfield,Doug Allan,Chadden Hunter,Michael Kelem,Paul Stewart,Jeff Wilson,Doug Anderson,Simon King,Tom Clarke,Justine Evans,Jonathan Keeling,Warwick Sloss",2006,,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition."
Blue Planet II,2017–2022,"TV Mini Series,6,h, ,4,m",9.3,41K,"Documentary,Back to top",David Attenborough,"David Attenborough,Peter Drost,Russell Boulter,Roger Munns,Roger Horrocks",2017–2022,,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face."
Chernobyl,2019,"TV Mini Series,5,h, ,30,m",9.4,750K,"Drama,History,Thriller,Back to top",Craig Mazin,"Jessie Buckley,Jared Harris,Stellan Skarsgård,Adam Nagaitis,Emily Watson,Paul Ritter,Robert Emms,Sam Troughton,Karl Davies,Michael Socha,Laura Elphinstone,Jan Ricica,Adrian Rawlins,Alan Williams,Con O'Neill,Douggie McMeekin,Nadia Clifford,David Dencik",2019,,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes."
Cosmos: A Spacetime Odyssey,2014,"TV Mini Series,9,h, ,17,m",9.3,122K,"Documentary,Back to top",Neil deGrasse Tyson,"Neil deGrasse Tyson,Christopher Emerson,Keythe Farley,Piotr Michael,Enn Reitel,Stoney Emshwiller,André Sogliuzzo,Amanda Seyfried,Kirsten Dunst,Paul Sorvino,Phil LaMarr,Larry Cedar,Christiane Amanpour,Seth MacFarlane,Fred Tatasciore,Martin Jarvis,Glenn Steinbaum,Maria Frucci",2014,,An exploration of our discovery of the laws of nature and coordinates in space and time.
Our Planet,2019,"TV Mini Series,6,h, ,43,m",9.3,44K,"Documentary,Back to top",David Attenborough,David Attenborough,2019,,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America."
Game of Thrones,2011–2019,"TV Series,57,m",9.2,2.1M,"Action,Adventure,Drama,Back to top",David Benioff,"Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey,Sophie Turner,Maisie Williams,Nikolaj Coster-Waldau,Iain Glen,John Bradley,Alfie Allen,Conleth Hill,Liam Cunningham,Gwendoline Christie,Aidan Gillen,Isaac Hempstead Wright,Rory McCann,Nathalie Emmanuel,Jerome Flynn",2011–2019,,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
The Sopranos,1999–2007,"TV Series,55,m",9.2,399K,"Crime,Drama,Back to top",David Chase,"James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,Steven Van Zandt,Robert Iler,Tony Sirico,Jamie-Lynn Sigler,Dominic Chianese,Aida Turturro,Steve Schirripa,Drea de Matteo,Dan Grimaldi,Joseph R. Gannascoli,Sharon Angela,John Ventimiglia,Vincent Curatola,Frank Vincent",1999–2007,,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling."
Rick and Morty,2013– ,"TV Series,23,m",9.1,521K,"Animation,Adventure,Comedy,Back to top",Dan Harmon,"Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke,Kari Wahlgren,Dan Harmon,Maurice LaMarche,Tom Kenny,Brandon Johnson,Nolan North,Ryan Ridley,Cassie Steele,Phil Hendrie,Rob Schrab,Keith David,Echo Kellum,Lee Harting,Gary Anthony Williams",2013– ,,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Fullmetal Alchemist: Brotherhood,2009–2010,"TV Series,24,m",9.1,168K,"Animation,Action,Adventure,Back to top",Hiromu Arakawa,"Kent Williams,Iemasa Kayumi,Matthew Leonhart,Vic Mignogna,Romi Park,Muriel Hofmann,Lili Troncale,Rie Kugimiya,Maxey Whitehead,Travis Willingham,Shin'ichirô Miki,Colleen Clinkenbeard,Fumiko Orikasa,J. Michael Tatum,Kenta Miyake,Yuki Hayashi,Caitlin Glass,Monica Rial",2009–2010,,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.
The World at War,1973–1974,"TV Series,52,m",9.2,26K,"Documentary,History,War,Back to top",Laurence Olivier,"Laurence Olivier,Averell Harriman,Albert Speer,Anthony Eden,Siegfried Westphal,Lawrence Durrell,J. Lawton Collins,Toshikazu Kase,Louis Mountbatten,Wynford Vaughan-Thomas,Walter Warlimont,J.R. Colville,Minoru Genda,Mitsuo Fuchida,Hans Kehrl,R.A. Butler,John J. McCloy,Adolf Galland",1973–1974,,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II."
Cosmos,1980,"TV Mini Series,13,h",9.3,41K,"Documentary,Back to top",Ann Druyan,"Carl Sagan,Jaromír Hanzlík,Jonathan Fahn,Bob Hevelone,Larry Soderblom,Jean Charney,Cecilia White,Bill Grant,Linda Morabito,Alan Belod,Arthur 'Lonne' Lane,Victor C. John,Ronald A. Hilbert,Dana Hlavácová,Josef Vinklár",1980,,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.
Foyle's War,2002–2015,"TV Series,1,h, ,30,m",8.6,16K,"Crime,Drama,Mystery,Back to top",Anthony Horowitz,"Michael Kitchen,Honeysuckle Weeks,Anthony Howell,Ellie Haddington,Julian Ovenden,Jay Simpson,Tim McMullan,Daniel Weyman,Jeremy Swift,Rupert Vansittart,Geoffrey Freshwater,Mali Harries,Michael Simkins,Hermione Gulliford,Max Brown,Alex Clatworthy,Jay Benedict,Jonah Lotan",2002–2015,,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
X-Men: The Animated Series,1992–1997,"TV Series,23,m",8.5,44K,"Animation,Action,Adventure,Back to top",Mark Edward Edens,"Cedric Smith,Cal Dodd,Lenore Zann,George Buza,Alyson Court,Catherine Disher,Norm Spencer,Chris Potter,Alison Sealy-Smith,David Hemblen,Lawrence Bayne,Marc Strange,Don Francks,Ron Rubin,Philip Akin,Stephen Ouimette,John Colicos,Kay Tremblay",1992–1997,,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
The Defiant Ones,2017,"TV Mini Series,1,h",8.5,15K,"Documentary,Biography,Crime,Back to top",Bono,"Bono,Stevie Nicks,Dr. Dre,Tom Petty,Jimmy Iovine,Janet Mormile,Ice Cube,Snoop Dogg,Gwen Stefani,Trent Reznor,Bruce Springsteen,Sean 'Diddy' Combs,Nas,Vicki Iovine,The D.O.C.,DJ Yella,Verna Griffin,Doug Morris",2017,,"""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture."
Black Books,2000–2004,"TV Series,25,m",8.5,59K,"Comedy,Back to top",Dylan Moran,"Dylan Moran,Bill Bailey,Tamsin Greig,Paul Beech,Daisy Campbell,Ben Homewood,Nick Frost,Tony Way,Omid Djalili,Mark Aiken,John Arthur,Terry Bird,Tony Bluto,Jessica Hynes,Nina Conti,Rose Keegan,Mick Walter,Howard Coggins",2000–2004,,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue."
Southland,2009–2013,"TV Series,42,m",8.5,27K,"Crime,Drama,Thriller,Back to top",Ann Biderman,"Michael Cudlitz,Shawn Hatosy,Regina King,Ben McKenzie,C. Thomas Howell,Arija Bareikis,Jamie McShane,Michael McGrady,Dorian Missick,Kevin Alejandro,Tom Everett Scott,Emily Bergl,Roxana Brusso,Mario Cortez,Lucy Liu,Jenny Gago,Lex Medlin,Patrick Fischler",2009–2013,,The lives of Police Officers working for the Los Angeles Police Department.
Avrupa Yakasi,2004–2009,"TV Series,1,h",8.6,19K,"Comedy,Back to top",Gülse Birsel,"Gülse Birsel,Levent Üzümcü,Senay Gürler,Hale Caneroglu,Veysel Diker,Yildirim Öcek,Yavuz Seçkin,Gazanfer Özcan,Hümeyra,Vural Çelik,Engin Günaydin,Rutkay Aziz,Suna Keskin,Ata Demirer,Hasibe Eren,Sarp Apak,Evrim Akin,Bülent Polat",2004–2009,,The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.
John Adams,2008,"TV Mini Series,1,h, ,11,m",8.5,34K,"Biography,Drama,History,Back to top",Paul Giamatti,"Paul Giamatti,Laura Linney,John Dossett,Stephen Dillane,Sarah Polley,Samuel Barnett,David Morse,Andrew Scott,Danny Huston,Ebon Moss-Bachrach,Steven Hinkle,Madeline Taylor,Mamie Gummer,Kevin Trainor,Tom Wilkinson,Michael Hall D'Addario,Rufus Sewell,Justin Theroux",2008,,"The life of one of the USA's Founding Fathers, its second President, and his role in the nation's first 50 years."
Derry Girls,2018–2022,"TV Series,30,m",8.5,43K,"Comedy,Back to top",Lisa McGee,"Saoirse-Monica Jackson,Louisa Harland,Tara Lynne O'Neill,Kathy Kiera Clarke,Tommy Tiernan,Ian McElhinney,Nicola Coughlan,Jamie-Lee O'Donnell,Dylan Llewellyn,Siobhán McSweeney,Leah O'Rourke,Beccy Henderson,Amelia Crowley,Claire Rafferty,Philippa Dunne,Donna Traynor,Kevin McAleer,Paul Mallon",2018–2022,,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.
The Knick,2014–2015,"TV Series,58,m",8.5,49K,"Drama,History,Back to top",Jack Amiel,"André Holland,Clive Owen,Jeremy Bobb,Juliet Rylance,Eve Hewson,Michael Angarano,Cara Seymour,Eric Johnson,Chris Sullivan,Grainger Hines,Zuzanna Szadkowski,Maya Kazan,Ylfa Edelstein,Lucas Papaelias,Leon Addison Brown,Charles Aitken,Tom Lipinski,Jennifer Ferrin",2014–2015,,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.
Big Little Lies,2017–2019,"TV Series,1,h",8.5,200K,"Crime,Drama,Mystery,Back to top",David E. Kelley,"Reese Witherspoon,Nicole Kidman,Shailene Woodley,Zoë Kravitz,Adam Scott,Laura Dern,James Tupper,Alexander Skarsgård,Jeffrey Nordling,Iain Armitage,Darby Camp,Kathryn Newton,Cameron Crovetti,Nicholas Crovetti,Chloe Coleman,Ivy George,Larry Sullivan,Merrin Dungey",2017–2019,,The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.
The Great British Baking Show,2010– ,"TV Series,1,h",8.6,11K,"Reality-TV,Back to top",Paul Hollywood,"Paul Hollywood,Mary Berry,Prue Leith,Noel Fielding,Sue Perkins,Mel Giedroyc,Sandi Toksvig,Matt Lucas,James Morton,John Whaite,Brendan Lynch,Beca Lyne-Pirkis,Tamal Ray,Candice Brown,Andrew Smyth,Jane Beedle,Rahul Mandal,Ruby Bhogal",2010– ,,Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.
Your Lie in April,2014–2015,"TV Series,23,m",8.6,30K,"Animation,Comedy,Drama,Back to top",Natsuki Hanae,"Natsuki Hanae,Risa Taneda,Ayane Sakura,Ryôta Ôsaka,Erika Harlacher,Amanda Céline Miller,Erik Scott Kimerer,Julie Ann Taylor,Adin Rudd,Abelina Sabrina Rios,Jennifer Alyx,Ryan Raydarke,Christina McBride,Megan Crockett,Erica Lindbeck,Max Mittelman,Erica Mendez,Kyle McCarley",2014–2015,,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
Wentworth,2013–2021,"TV Series,45,m",8.6,23K,"Crime,Drama,Thriller,Back to top",Reg Watson,"Kate Atkinson,Katrina Milosevic,Robbie Magasiva,Jacquie Brennan,Celia Ireland,Pamela Rabe,Kate Jenkinson,Lucia Brancatisano,Lauri McLennan,Bernard Curry,Nicole da Silva,Shareena Clanton,Eloise Wright,Danielle Cormack,Tammy Macintosh,Rarriwuy Hick,Katherine Grinlaw,Susie Porter",2013–2021,,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.
The Angry Video Game Nerd,2004– ,"TV Series,35,m",8.5,15K,"Comedy,Back to top",James Rolfe,"James Rolfe,Mike Matei,Kyle Justin,Kieran Fallon,Antonio Piluso,Kevin Finn,Liam Mulvey,Craig Skistimas,Justin Silverman,Marsh,Xander Arnot,Micheal Mulvey,Pat Contri,Lloyd Kaufman,Nathan Barnatt,Macaulay Culkin,Gilbert Gottfried,Grant Duffrin",2004– ,,A foul-mouthed nerd reviews bad video games.
My Brilliant Friend,2018– ,"TV Series,1,h",8.6,15K,"Drama,Back to top",Saverio Costanzo,"Alba Rohrwacher,Margherita Mazzucco,Gaia Girace,Annarita Vitolo,Alessio Gallo,Luca Gallone,Francesco Serpico,Giovanni Amura,Giovanni Buselli,Eduardo Scarpetta,Elvis Esposito,Valentina Acca,Antonio Buonanno,Rosaria Langellotto,Gennaro De Stefano,Fabrizio Cottone,Pina Di Gennaro,Riccardo Palmieri",2018– ,,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.
Generation Kill,2008,"TV Mini Series,1,h, ,10,m",8.5,54K,"Drama,War,Back to top",Alexander Skarsgård,"Alexander Skarsgård,James Ransone,Lee Tergesen,Jon Huertas,Stark Sands,Billy Lush,Jonah Lotan,Wilson Bethel,Pawel Szajda,Marc Menchaca,Rey Valentin,Kellan Lutz,Mike Figueroa,Rudy Reyes,Rich McDonald,Eric Ladin,Chance Kelly,Eric Nenninger",2008,,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003."
Alfred Hitchcock Presents,1955–1962,"TV Series,25,m",8.5,18K,"Comedy,Crime,Drama,Back to top",Alfred Hitchcock,"Alfred Hitchcock,Harry Tyler,John Williams,Patricia Hitchcock,Arthur Gould-Porter,Raymond Bailey,Lillian O'Malley,Russell Collins,Robert Carson,Barry Harvey,Robert H. Harris,Ray Teal,Bartlett Robinson,David Fresco,Robert Horton,Percy Helton,Ralph Clanton,Charles Davis",1955–1962,,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not."
Regular Show,2009–2017,"TV Series,23,m",8.5,46K,"Animation,Action,Adventure,Back to top",J.G. Quintel,"J.G. Quintel,William Salyers,Sam Marin,Mark Hamill,Roger Craig Smith,Minty Lewis,Janie Haddad Tompkins,Courtenay Taylor,Steve Blum,Fred Tatasciore,John Cygan,Ali Hillis,Linda Cardellini,Jeff Bennett,David Kaye,Robin Atkin Downes,David Ogden Stiers,Troy Baker",2009–2017,,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.
Chef's Table,2015–2019,"TV Series,50,m",8.5,16K,"Documentary,Back to top",Massimo Bottura,"Massimo Bottura,Ruth Reichl,Francis Mallmann,Magnus Nilsson,Dan Barber,Niki Nakayama,Bill Buford,Ben Shewry,Lara Gilmore,David Chang,Dominique Crenn,Grant Achatz,Daniel Humm,Ana Ros,Gaggan Anand,Alex Atala,Enrique Olvera,Colman Andrews",2015–2019,,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven."
The Night Of,2016,"TV Mini Series,8,h, ,45,m",8.5,152K,"Crime,Drama,Mystery,Back to top",Richard Price,"Riz Ahmed,John Turturro,Bill Camp,Amara Karan,Payman Maadi,Jeannie Berlin,Poorna Jagannathan,Michael Kenneth Williams,Paul Sparks,Syam M. Lafi,Sofia Black-D'Elia,Afton Williamson,Paulo Costanzo,Nabil Elouahabi,Mustafa Shakir,Joshua Bitton,Lord Jamar,Esau Pritchett",2016,,"After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder."
Mr Inbetween,2018–2021,"TV Series,30,m",8.6,19K,"Crime,Drama,Back to top",Scott Ryan,"Scott Ryan,Chika Yasumura,Justin Rosniak,Damon Herriman,Brooke Satchwell,Nicholas Cassim,Natalie Tran,Matt Nable,Lizzie Schebesta,Jed,Jeremy Sims,Kenny Graham,Eddie Baroo,Josh McConville,Kieran Darcy-Smith,David Michôd,Scott Harrison,Rose Riley",2018–2021,,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire."
The Expanse,2015–2022,"TV Series,1,h",8.5,154K,"Drama,Mystery,Sci-Fi,Back to top",Daniel Abraham,"Steven Strait,Dominique Tipper,Wes Chatham,Shohreh Aghdashloo,Cas Anvar,Frankie Adams,Cara Gee,Shawn Doyle,Thomas Jane,Florence Faivre,Nadine Nicole,Chad L. Coleman,Anna Hopkins,Keon Alexander,Jasai Chase Owens,Andrew Rotilio,Nick E. Tarabay,David Strathairn",2015–2022,,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente."
Community,2009–2015,"TV Series,22,m",8.5,266K,"Comedy,Back to top",Dan Harmon,"Joel McHale,Danny Pudi,Donald Glover,Chevy Chase,Gillian Jacobs,Alison Brie,Ken Jeong,Yvette Nicole Brown,Jim Rash,Richard Erdman,Erik Charles Nielsen,Dino Stamatopoulos,Danielle Kaplowitz,John Oliver,Charley Koontz,Luke Youngblood,Paget Brewster,Keith David",2009–2015,,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.
Schitt's Creek,2015–2020,"TV Series,22,m",8.5,122K,"Comedy,Back to top",Dan Levy,"Eugene Levy,Catherine O'Hara,Dan Levy,Annie Murphy,Chris Elliott,Emily Hampshire,Jennifer Robertson,Sarah Levy,Karen Robinson,Dustin Milligan,Noah Reid,John Hemphill,Tim Rozon,Marilyn Bellfontaine,Mary Kelly,Jennifer Foster,Lili Connor,Rizwan Manji",2015–2020,,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues."
Hannibal,2013–2015,"TV Series,44,m",8.5,256K,"Crime,Drama,Horror,Back to top",Bryan Fuller,"Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas,Laurence Fishburne,Scott Thompson,Aaron Abrams,Gillian Anderson,Hettienne Park,Kacey Rohl,Lara Jean Chorostecki,Raúl Esparza,Vladimir Jon Cubrt,Katharine Isabelle,Kalen Davidson,Eddie Izzard,Richard Armitage,Gina Torres,Rutina Wesley",2013–2015,,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.
Umbre,2014–2019,"TV Series,45,m",8.8,10K,"Crime,Drama,Thriller,Back to top",Serban Pavlu,"Serban Pavlu,Maria Obretin,Andreea Vasile,Madalina Craiu,Gabriel Huian,Sergiu Costache,Doru Ana,Dan Hurduc,Stefan Velniciuc,Laurentiu Bãnescu,Sorin Cocis,Mihai Calin,Vitalie Bantas,Dorel Visan,Costel Cascaval,Augustin Viziru,Silvana Mihai,Ion Grosu",2014–2019,,"Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies begin to surface."
House of the Dragon,2022– ,TV Series,8.5,273K,"Action,Adventure,Drama,Back to top",Ryan J. Condal,"Rhys Ifans,Matt Smith,Fabien Frankel,Graham McTavish,Paddy Considine,Bill Paterson,Eve Best,Steve Toussaint,Jefferson Hall,Emma D'Arcy,Gavin Spokes,Sonoya Mizuno,Matthew Needham,Olivia Cooke,Milly Alcock,Emily Carey,David Horovitch,Kurt Egyiawan",2022– ,,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen."
Futurama,1999–2023,"TV Series,22,m",8.5,239K,"Animation,Adventure,Comedy,Back to top",David X. Cohen,"Billy West,John DiMaggio,Katey Sagal,Tress MacNeille,Phil LaMarr,Lauren Tom,Maurice LaMarche,David Herman,Frank Welker,Kath Soucie,Dawnn Lewis,Tom Kenny,Dan Castellaneta,George Takei,Nicole St. John,Phil Hendrie,Al Gore,Pamela Anderson",1999–2023,,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999."
Rurouni Kenshin: Trust and Betrayal,1999,"TV Mini Series,1,h, ,58,m",8.6,15K,"Animation,Action,Adventure,Back to top",Mayo Suzukaze,"Mayo Suzukaze,Junko Iwao,Nozomu Sasaki,Masami Suzuki,Shûichi Ikeda,Tomokazu Seki,Wataru Takagi,Ryûsei Nakao,Hirotaka Suzuoki,Akari Hibino,Minoru Uchida,Tetsuya Iwanaga,Satoshi Tsuruoka,Mitsuaki Hoshino,Hiromi Setsu,Rikiya Koyama,Hiroshi Takahashi,Hiroshi Shimozaki",1999,,"In the era of Japan's Meiji Restoration, an assassin regains his humanity."
Spartacus: Gods of the Arena,2011,"TV Mini Series,5,h, ,31,m",8.5,138K,"Action,Adventure,Biography,Back to top",Steven S. DeKnight,"John Hannah,Manu Bennett,Peter Mensah,Dustin Clare,Nick E. Tarabay,Lucy Lawless,Craig Walsh-Wrightson,Lesley-Ann Brandt,Antonio Te Maioha,Stephen Lovatt,Shane Rangi,Jessica Grace Smith,Raicho Vasilev,Ioane King,Marisa Ramirez,Gareth Williams,Jeffrey Thomas,Jaime Murray",2011,,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household."
Cobra Kai,2018– ,"TV Series,30,m",8.5,186K,"Action,Comedy,Drama,Back to top",Josh Heald,"Ralph Macchio,William Zabka,Courtney Henggeler,Xolo Maridueña,Tanner Buchanan,Mary Mouser,Jacob Bertrand,Gianni DeCenzo,Martin Kove,Vanessa Rubio,Peyton List,Owen Morgan,Aedin Mincks,Jayden Rivers,Joe Seo,Griffin Santopietro,Khalil Everage,Hannah Kepple",2018– ,,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
Jujutsu Kaisen,2020– ,"TV Series,24,m",8.6,62K,"Animation,Action,Adventure,Back to top",Junya Enoki,"Junya Enoki,Adam McArthur,Yûichi Nakamura,Yuma Uchida,Asami Seto,Robbie Daymond,Mitsuo Iwata,Chris Tergliafera,Nobunaga Shimazaki,Allegra Clark,Tomokazu Seki,Mikako Komatsu,Koki Uchiyama,Lex Lang,Jun'ichi Suwabe,Tara Sands,Kenjirô Tsuda,Shigeru Chiba",2020– ,,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Silicon Valley,2014–2019,"TV Series,28,m",8.5,151K,"Comedy,Back to top",John Altschuler,"Thomas Middleditch,T.J. Miller,Josh Brener,Martin Starr,Kumail Nanjiani,Amanda Crew,Zach Woods,Matt Ross,Jimmy O. Yang,Suzanne Cryer,Chris Diamantopoulos,Chris Williams,Stephen Tobolowsky,Rogelio T. Ramos,Scott Prendergast,Aly Mawji,Jill E. Alexander,Bernard White",2014–2019,,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper."
Twin Peaks,2017,"TV Series,1,h",8.5,68K,"Crime,Drama,Horror,Back to top",Mark Frost,"Kyle MacLachlan,Sheryl Lee,Michael Horse,Chrysta Bell,Miguel Ferrer,David Lynch,Robert Forster,Kimmy Robertson,Naomi Watts,Laura Dern,Pierce Gagnon,Harry Goaz,Al Strobel,John Pirruccello,Don Murray,Mädchen Amick,Dana Ashbrook,Brent Briscoe",2017,,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.
From the Earth to the Moon,1998,"TV Mini Series,1,h",8.6,12K,"Action,Drama,History,Back to top",Tom Hanks,"Tom Hanks,Nick Searcy,Lane Smith,David Andrews,Daniel Hugh Kelly,Stephen Root,David Clyde Carr,Tim Daly,Steve Hofvendahl,Conor O'Farrell,Brett Cullen,Cary Elwes,Ben Marley,Mike Pniewski,Holmes Osborne,Tom Verica,John Posey,Rita Wilson",1998,,Dramatized portrayal of the Apollo manned space program.
Trailer Park Boys,2001–2018,"TV Series,30,m",8.6,45K,"Comedy,Crime,Back to top",Mike Clattenburg,"John Paul Tremblay,Robb Wells,Mike Smith,John Dunsworth,Patrick Roach,Sarah Dunsworth,Tyrone Parsons,Jeanna Harrison,Cory Bowles,Shelley Thompson,Lucy Decoutere,Jonathan Torrens,Jacob Rolfe,Barrie Dunn,Michael Jackson,George Green,Garry James,Marguerite McNeil",2001–2018,,Three petty felons have a documentary made about their life in a trailer park.
